crop,year,yield_t_ha
coconut,2009,6.6803
coconut,2010,6.7072
coconut,2011,6.7522
coconut,2012,6.7407
coconut,2013,6.7433
coconut,2014,6.718
coconut,2015,6.6622
coconut,2016,6.64
coconut,2017,6.7578
coconut,2018,6.7578
coconut,2019,6.7928
coconut,2020,7.9493
coconut,2021,8.517
coconut,2022,17.2148
coconut,2023,13.7646
coconut,2024,13.9017
cotton,1961,0.6966
cotton,1962,0.7997
cotton,1963,0.8537
cotton,1964,0.7723
cotton,1965,0.8012
cotton,1966,0.869
cotton,1967,0.9011
cotton,1968,0.9032
cotton,1969,0.9213
cotton,1970,0.9316
cotton,1971,1.0836
cotton,1972,1.0469
cotton,1973,1.0707
cotton,1974,0.9367
cotton,1975,0.8328
cotton,1976,0.6994
cotton,1977,0.9352
cotton,1978,0.7506
cotton,1979,1.0498
cotton,1980,1.0166
cotton,1981,1.0135
cotton,1982,1.0923
cotton,1983,0.6682
cotton,1984,1.3498
cotton,1985,1.5439
cotton,1986,1.5802
cotton,1987,1.7153
cotton,1988,1.6332
cotton,1989,1.6807
cotton,1990,1.8454
cotton,1991,2.3075
cotton,1992,1.6291
cotton,1993,1.463
cotton,1994,1.6729
cotton,1995,1.8037
cotton,1996,1.5192
cotton,1997,1.5833
cotton,1998,1.5346
cotton,1999,1.9226
cotton,2000,1.8706
cotton,2001,1.7381
cotton,2002,1.8651
cotton,2003,1.7152
cotton,2004,2.2801
cotton,2005,2.0424
cotton,2006,2.0333
cotton,2007,1.8587
cotton,2008,2.0462
cotton,2009,2.0395
cotton,2010,2.0875
cotton,2011,2.3303
cotton,2012,2.2114
cotton,2013,2.2724
cotton,2014,2.3021
cotton,2015,1.6788
cotton,2016,2.1042
cotton,2017,2.1683
cotton,2018,2.0348
cotton,2019,1.7798
cotton,2020,1.6616
cotton,2021,2.1147
cotton,2022,1.1241
cotton,2023,2.0782
cotton,2024,1.7133
grapes,1961,9.5
grapes,1962,5.8636
grapes,1963,7.8077
grapes,1964,7.125
grapes,1965,7.7692
grapes,1966,8.0769
grapes,1967,8.6538
grapes,1968,9.8696
grapes,1969,10.0417
grapes,1970,10.4783
grapes,1971,10.913
grapes,1972,9.6087
grapes,1973,11.32
grapes,1974,11.36
grapes,1975,11.5643
grapes,1976,12.082
grapes,1977,12.1303
grapes,1978,11.661
grapes,1979,11.5593
grapes,1980,10.3244
grapes,1981,10.2337
grapes,1982,9.6008
grapes,1983,9.4811
grapes,1984,9.4519
grapes,1985,10.2143
grapes,1986,10.1724
grapes,1987,10.5172
grapes,1988,9.7813
grapes,1989,10.1371
grapes,1990,10.0968
grapes,1991,10.1706
grapes,1992,9.8757
grapes,1993,4.9942
grapes,1994,5.2418
grapes,1995,8.585
grapes,1996,8.6788
grapes,1997,8.522
grapes,1998,8.4813
grapes,1999,3.875
grapes,2000,4.098
grapes,2001,4.1307
grapes,2002,4.08
grapes,2003,3.9735
grapes,2004,3.7768
grapes,2005,3.716
grapes,2006,3.3583
grapes,2007,4.9187
grapes,2008,4.9547
grapes,2009,4.2272
grapes,2010,4.2172
grapes,2011,4.2032
grapes,2012,4.211
grapes,2013,4.3156
grapes,2014,4.2992
grapes,2015,4.4571
grapes,2016,4.4966
grapes,2017,4.2602
grapes,2018,4.3682
grapes,2019,5.2383
grapes,2020,5.6795
grapes,2021,6.7092
grapes,2022,4.2701
grapes,2023,12.1352
grapes,2024,8.2817
jute,1971,0.5615
jute,1972,0.7833
jute,1973,0.64
jute,1974,0.9099
jute,1975,0.8581
jute,1976,0.7988
jute,1977,0.7933
jute,1978,0.922
jute,1979,0.9696
jute,1980,0.7415
jute,1981,0.8385
jute,1982,0.8265
jute,1983,0.8712
jute,1984,0.8349
jute,1985,0.9075
jute,1986,1.1024
jute,1987,0.9616
jute,1988,1.009
jute,1989,0.9134
jute,1990,0.9249
jute,1991,0.9149
jute,1992,0.8571
jute,1993,1.0
jute,1994,1.0
jute,1995,1.0968
jute,1996,1.1034
jute,1997,1.0741
jute,1998,1.1304
jute,1999,1.0909
jute,2000,1.0476
jute,2001,1.05
jute,2002,1.0741
jute,2003,1.0845
jute,2004,1.0743
jute,2005,1.0791
jute,2006,1.084
